id,pert,gene,label
Il10rb_Saa3,Il10rb,Saa3,down
Ippk_Efr3b,Ippk,Efr3b,none
Dusp1_Npy,Dusp1,Npy,up
Tpr_Tram1,Tpr,Tram1,none
Pfn1_Hp,Pfn1,Hp,down
Sptssa_Ms4a6b,Sptssa,Ms4a6b,none
Syvn1_Calr,Syvn1,Calr,up
Vps33a_Cd69,Vps33a,Cd69,none
Actl6a_Odc1,Actl6a,Odc1,up
Trappc8_Gbf1,Trappc8,Gbf1,up
Ss18_Col18a1,Ss18,Col18a1,up
Smg5_Vwa3b,Smg5,Vwa3b,none
Wdr36_Blvrb,Wdr36,Blvrb,down
Wdr75_Odc1,Wdr75,Odc1,up
Ing3_Mmp12,Ing3,Mmp12,none
Cnot2_Pf4,Cnot2,Pf4,none
Mms22l_Gm3625,Mms22l,Gm3625,none
Wdr70_Ctsl,Wdr70,Ctsl,none
Hdac3_Cd36,Hdac3,Cd36,up
Ube4b_Hmgn1,Ube4b,Hmgn1,none
Ube4b_Cenph,Ube4b,Cenph,none
Rbm14_Btg1,Rbm14,Btg1,up
Igbp1_Cd69,Igbp1,Cd69,none
Rraga_Syngr1,Rraga,Syngr1,up
Rb1cc1_Polr2a,Rb1cc1,Polr2a,none
Nol10_Cotl1,Nol10,Cotl1,down
Fbxo11_Il1a,Fbxo11,Il1a,down
Gosr2_Scfd2,Gosr2,Scfd2,up
Sec13_Asph,Sec13,Asph,up
Egln1_Brd2,Egln1,Brd2,none
Ddx18_Dph6,Ddx18,Dph6,none
Ddx5_Tpm2,Ddx5,Tpm2,none
Cnot1_Trem2,Cnot1,Trem2,up
Dcaf13_Saa1,Dcaf13,Saa1,none
Irf9_Lsm3,Irf9,Lsm3,none
Emc3_Hsd3b7,Emc3,Hsd3b7,none
Cct2_Crip1,Cct2,Crip1,none
Fermt3_Mthfd2,Fermt3,Mthfd2,down
Rps5_Nampt,Rps5,Nampt,up
Wdr70_Pdia3,Wdr70,Pdia3,none
Xpo1_Hmox1,Xpo1,Hmox1,down
Trem2_Psma6,Trem2,Psma6,none
Junb_Lipa,Junb,Lipa,none
Cog5_Ifitm6,Cog5,Ifitm6,none
Zfp710_Psma6,Zfp710,Psma6,none
Mbd2_S100a10,Mbd2,S100a10,up
Actr10_Itgam,Actr10,Itgam,down
Pi4kb_Tnfaip8l2,Pi4kb,Tnfaip8l2,down
Sptlc1_Ccnd1,Sptlc1,Ccnd1,up
Atxn7l3_Fgl2,Atxn7l3,Fgl2,down
Klf6_S100a10,Klf6,S100a10,down
Pias1_Ctsl,Pias1,Ctsl,down
Nrbf2_Krtcap2,Nrbf2,Krtcap2,none
Hyou1_Krtcap2,Hyou1,Krtcap2,up
Cog3_Gm49774,Cog3,Gm49774,none
Cwc15_Fam111a,Cwc15,Fam111a,none
Cct5_BC005537,Cct5,BC005537,up
Myc_C1qbp,Myc,C1qbp,down
Hspa4_Cotl1,Hspa4,Cotl1,none
Yy1_Gapdh,Yy1,Gapdh,none
Hars_Tasl,Hars,Tasl,none
Naa35_Gm29642,Naa35,Gm29642,none
Mphosph10_Tpi1,Mphosph10,Tpi1,down
Tpr_Sec11c,Tpr,Sec11c,up
Wdr48_Gys1,Wdr48,Gys1,down
Gins2_Fcgr2b,Gins2,Fcgr2b,down
Hars_Tmtc2,Hars,Tmtc2,none
Atf4_Bcl2a1a,Atf4,Bcl2a1a,up
Gtf2a2_Frs3,Gtf2a2,Frs3,none
Trappc1_Pck2,Trappc1,Pck2,up
Alg2_Akr7a5,Alg2,Akr7a5,none
Cct2_Tmem39a,Cct2,Tmem39a,none
Rpl35_AA467197,Rpl35,AA467197,none
Dcaf13_Ctsk,Dcaf13,Ctsk,none
Strap_H2aj,Strap,H2aj,up
Pten_Iqgap2,Pten,Iqgap2,down
Ss18_Tlr2,Ss18,Tlr2,up
Dync1i2_Ctsh,Dync1i2,Ctsh,none
Spc24_Vcan,Spc24,Vcan,none
Suz12_Prdx5,Suz12,Prdx5,none
Eftud2_Blvrb,Eftud2,Blvrb,none
Daxx_Mtdh,Daxx,Mtdh,none
Ss18_BC051226,Ss18,BC051226,none
Dnajc8_Gm39469,Dnajc8,Gm39469,up
Wdr36_Timp2,Wdr36,Timp2,none
Rngtt_Creg1,Rngtt,Creg1,up
Nelfcd_Calcr,Nelfcd,Calcr,none
Ehmt2_Ly86,Ehmt2,Ly86,up
Rbck1_Clec4e,Rbck1,Clec4e,down
Nol10_Hivep3,Nol10,Hivep3,none
Dr1_Mms22l,Dr1,Mms22l,none
Ogt_S100a6,Ogt,S100a6,none
Rae1_Ctsl,Rae1,Ctsl,up
Sephs1_Ybx3,Sephs1,Ybx3,down
Mnt_Gbe1,Mnt,Gbe1,up
Cog8_Ifit3b,Cog8,Ifit3b,none
Ddb1_Tlr2,Ddb1,Tlr2,up
Gtf2h1_Fap,Gtf2h1,Fap,up
Dnajc8_Chrna5,Dnajc8,Chrna5,none
Gins3_Fcgr2b,Gins3,Fcgr2b,down
Wdr61_Cd36,Wdr61,Cd36,up
Nkap_Mt2,Nkap,Mt2,none
Vps33a_Gclm,Vps33a,Gclm,up
Dph3_Odc1,Dph3,Odc1,up
Atp6v1e1_Pofut1,Atp6v1e1,Pofut1,none
Suz12_Cacna1d,Suz12,Cacna1d,up
Tnfrsf1a_Il4i1,Tnfrsf1a,Il4i1,up
Prpf38b_Mthfd2,Prpf38b,Mthfd2,none
Becn1_Bcl2a1d,Becn1,Bcl2a1d,none
Vhl_Ero1a,Vhl,Ero1a,up
Cul1_Cpe,Cul1,Cpe,none
Nfkbiz_Hmox1,Nfkbiz,Hmox1,none
Tgif1_Rabac1,Tgif1,Rabac1,none
Pik3r4_S100a1,Pik3r4,S100a1,up
Ptpn11_Acod1,Ptpn11,Acod1,none
Kras_Lztfl1,Kras,Lztfl1,none
Taf5l_Man1a,Taf5l,Man1a,none
Snx13_Rapgef5,Snx13,Rapgef5,none
Ddb1_Selenop,Ddb1,Selenop,up
Med20_Ifi47,Med20,Ifi47,none
Hsp90ab1_1810009A15Rik,Hsp90ab1,1810009A15Rik,none
Pafah1b1_Zdhhc1,Pafah1b1,Zdhhc1,none
Bcl6_Alas1,Bcl6,Alas1,up
Kars_Cyb5r1,Kars,Cyb5r1,up
Sptlc1_Utrn,Sptlc1,Utrn,up
Psmd13_Ubr3,Psmd13,Ubr3,up
Rab7_Gpnmb,Rab7,Gpnmb,none
Cog5_Cacna1a,Cog5,Cacna1a,none
Jak1_Ifit2,Jak1,Ifit2,down
Ddx41_Pilrb2,Ddx41,Pilrb2,none
Dad1_Dnajc3,Dad1,Dnajc3,up
Jtb_Sqstm1,Jtb,Sqstm1,up
Adnp_Ctsl,Adnp,Ctsl,down
Clp1_Akr1a1,Clp1,Akr1a1,none
Ly96_Saa3,Ly96,Saa3,down
Sptssa_Tgm2,Sptssa,Tgm2,none
Mphosph10_Lpar6,Mphosph10,Lpar6,none
Jtb_Mcoln2,Jtb,Mcoln2,up
Ppp2r2a_Fosl2,Ppp2r2a,Fosl2,down
Prpf40a_Tspan13,Prpf40a,Tspan13,up
Adnp_Gbp6,Adnp,Gbp6,none
Eftud2_Tlr4,Eftud2,Tlr4,up
Copz1_St3gal5,Copz1,St3gal5,down
Traf2_H3f3b,Traf2,H3f3b,none
Ippk_Slfn1,Ippk,Slfn1,none
Bcl6_Ccrl2,Bcl6,Ccrl2,none
Igbp1_Cxcl2,Igbp1,Cxcl2,up
Hsp90ab1_Procr,Hsp90ab1,Procr,none
Vps39_Hipk3,Vps39,Hipk3,none
Smc3_Cd44,Smc3,Cd44,none
Rpl4_Acod1,Rpl4,Acod1,down
Cdc123_Asns,Cdc123,Asns,up
Dpy30_Asph,Dpy30,Asph,up
Ints1_Gapdh,Ints1,Gapdh,none
Dcaf13_AA467197,Dcaf13,AA467197,none
Smg5_Snhg12,Smg5,Snhg12,up
Pi4kb_Bcl2a1d,Pi4kb,Bcl2a1d,none
Zfp36_Cotl1,Zfp36,Cotl1,none
Wdr48_A330040F15Rik,Wdr48,A330040F15Rik,up
Yy1_Lpxn,Yy1,Lpxn,none
Chd4_Rhoc,Chd4,Rhoc,up
Brd2_Gapdh,Brd2,Gapdh,none
Pik3c3_Cd14,Pik3c3,Cd14,none
Spc24_Kcnq1ot1,Spc24,Kcnq1ot1,none
Vhl_Clec4e,Vhl,Clec4e,none
Sephs1_Slc39a13,Sephs1,Slc39a13,down
Smc3_Rgs18,Smc3,Rgs18,up
Chmp6_Sh3pxd2a,Chmp6,Sh3pxd2a,none
Igbp1_Uchl1,Igbp1,Uchl1,none
Ppp6c_Selenow,Ppp6c,Selenow,none
Rhoa_Gpr84,Rhoa,Gpr84,none
Ric1_Sec31a,Ric1,Sec31a,up
Ss18_Cxcl2,Ss18,Cxcl2,none
Rbm14_Oasl1,Rbm14,Oasl1,none
Rtf1_Polr2a,Rtf1,Polr2a,up
Kdm1a_Cfp,Kdm1a,Cfp,down
Acin1_Fap,Acin1,Fap,up
Wdr43_Tlr3,Wdr43,Tlr3,up
Srsf7_Saa3,Srsf7,Saa3,down
Psmd1_Ralgds,Psmd1,Ralgds,none
Nol10_Lmna,Nol10,Lmna,none
Pik3c3_Notch1,Pik3c3,Notch1,none
Vhl_Pgk1,Vhl,Pgk1,up
Dohh_2300009A05Rik,Dohh,2300009A05Rik,none
Ints9_Prdx5,Ints9,Prdx5,none
Psmd4_Tuba1c,Psmd4,Tuba1c,none
Fermt3_Itgal,Fermt3,Itgal,down
Psmd1_Hmox1,Psmd1,Hmox1,none
Cog8_Cxcl1,Cog8,Cxcl1,up
Exosc7_Vmp1,Exosc7,Vmp1,up
Gspt1_Dnajc3,Gspt1,Dnajc3,none
Tyk2_Fcgr2b,Tyk2,Fcgr2b,none
Pi4kb_Cxcl2,Pi4kb,Cxcl2,up
Ippk_Npy,Ippk,Npy,none
Heatr1_Chst11,Heatr1,Chst11,none
Taf5l_Dock10,Taf5l,Dock10,up
Nfkbiz_Stap1,Nfkbiz,Stap1,down
Lamtor2_Ctsl,Lamtor2,Ctsl,none
Ddb1_Clip1,Ddb1,Clip1,none
Jtb_Gbf1,Jtb,Gbf1,up
2310011J03Rik_Oasl1,2310011J03Rik,Oasl1,none
Leng1_Fos,Leng1,Fos,up
Vps4b_Sh2b3,Vps4b,Sh2b3,none
Stk11_Hilpda,Stk11,Hilpda,up
Wdr70_Gan,Wdr70,Gan,up
Cd14_Uchl1,Cd14,Uchl1,none
Sfpq_Selenow,Sfpq,Selenow,none
Psmd4_Syngr1,Psmd4,Syngr1,none
Chd4_Clec4d,Chd4,Clec4d,none
Psmd13_Creg1,Psmd13,Creg1,up
Hsp90b1_Clec4n,Hsp90b1,Clec4n,none
Srsf1_Gm14461,Srsf1,Gm14461,none
Hspa4_Il1b,Hspa4,Il1b,none
Polr2i_Arl6ip1,Polr2i,Arl6ip1,none
Pik3c3_Bin1,Pik3c3,Bin1,none
Atp6v1b2_Hmox1,Atp6v1b2,Hmox1,none
Strap_Tlcd2,Strap,Tlcd2,none
Trappc8_Zfp874b,Trappc8,Zfp874b,none
Dido1_AU020206,Dido1,AU020206,none
Yy1_C3,Yy1,C3,none
Rae1_Cav1,Rae1,Cav1,up
Stag2_Dner,Stag2,Dner,up
Spout1_Il15,Spout1,Il15,up
Snx13_Cd63,Snx13,Cd63,up
Alg2_Gpr84,Alg2,Gpr84,none
Plrg1_Vcan,Plrg1,Vcan,none
Cnot1_AI182371,Cnot1,AI182371,none
Rraga_Gpnmb,Rraga,Gpnmb,up
Tgif1_C1qb,Tgif1,C1qb,none
Ddx41_Mtdh,Ddx41,Mtdh,none
Snrnp27_Lmna,Snrnp27,Lmna,up
Ing3_Ms4a4c,Ing3,Ms4a4c,none
Igbp1_S100a11,Igbp1,S100a11,none
Cfdp1_Timp2,Cfdp1,Timp2,up
Tcp1_St3gal5,Tcp1,St3gal5,down
Ppp2r1a_Trim30c,Ppp2r1a,Trim30c,up
Strip1_Lrrc25,Strip1,Lrrc25,none
Naa35_Gpnmb,Naa35,Gpnmb,up
Prpf19_Urah,Prpf19,Urah,none
Ikzf1_Ctsk,Ikzf1,Ctsk,up
Hars_Krtcap2,Hars,Krtcap2,up
Bcl6_Clec4n,Bcl6,Clec4n,up
Cop1_Uchl1,Cop1,Uchl1,down
Ikzf1_Col18a1,Ikzf1,Col18a1,up
Rack1_E130308A19Rik,Rack1,E130308A19Rik,none
Tlr4_Psma6,Tlr4,Psma6,down
Srcap_Cav1,Srcap,Cav1,up
Tpr_Bcl2l11,Tpr,Bcl2l11,up
Kin_Abcg1,Kin,Abcg1,up
Pdcd10_Edil3,Pdcd10,Edil3,none
Wtap_Adap2,Wtap,Adap2,none
Mau2_Alcam,Mau2,Alcam,up
Tardbp_Grina,Tardbp,Grina,up
Nelfcd_Cd36,Nelfcd,Cd36,up
Txnl4a_Rapgef5,Txnl4a,Rapgef5,none
Daxx_Odc1,Daxx,Odc1,none
Leng8_Lmna,Leng8,Lmna,up
Rps26_Fam219a,Rps26,Fam219a,none
Plrg1_Gm56743,Plrg1,Gm56743,none
Arih1_Cxcl3,Arih1,Cxcl3,none
Atp6v0e_Lipa,Atp6v0e,Lipa,up
Tcp1_Saa3,Tcp1,Saa3,down
Pten_Pcdh7,Pten,Pcdh7,none
Phb2_Cdk2ap2,Phb2,Cdk2ap2,none
Uvrag_Nek10,Uvrag,Nek10,none
Mnt_Gan,Mnt,Gan,none
Cog8_Capn5,Cog8,Capn5,none
Tyrobp_Prdx4,Tyrobp,Prdx4,down
Sephs1_Xylt2,Sephs1,Xylt2,none
Jtb_Pik3cb,Jtb,Pik3cb,none
Ing3_Timp2,Ing3,Timp2,none
Cct2_Prdx5,Cct2,Prdx5,down
Dhx15_Tomm20,Dhx15,Tomm20,none
Cwc15_Gpnmb,Cwc15,Gpnmb,up
Pafah1b1_Fxyd2,Pafah1b1,Fxyd2,none
Mau2_Pla2g12a,Mau2,Pla2g12a,none
Usp9x_Prdx1,Usp9x,Prdx1,up
Rpl26_Cmpk2,Rpl26,Cmpk2,up
Vps39_S100a8,Vps39,S100a8,none
Ap3b1_Cmpk2,Ap3b1,Cmpk2,up
Gspt1_Sqstm1,Gspt1,Sqstm1,none
Rnf40_Mcrip2,Rnf40,Mcrip2,none
Nrbf2_Hmox1,Nrbf2,Hmox1,none
Yy1_Map1lc3a,Yy1,Map1lc3a,up
Actr6_Hspa5,Actr6,Hspa5,none
Ube2h_Maf,Ube2h,Maf,down
Cul1_Ccnd1,Cul1,Ccnd1,up
Cpsf4_Tlcd2,Cpsf4,Tlcd2,up
Rpp21_Asns,Rpp21,Asns,up
Cdc123_Inhba,Cdc123,Inhba,none
Irf8_2310009B15Rik,Irf8,2310009B15Rik,none
Mta2_Cd36,Mta2,Cd36,none
Dda1_Exoc6b,Dda1,Exoc6b,none
Ly96_Rabac1,Ly96,Rabac1,none
Slc7a6os_Iqsec1,Slc7a6os,Iqsec1,none
Dpm1_Chpf,Dpm1,Chpf,none
Oxsr1_Marcks,Oxsr1,Marcks,none
Nelfb_Snhg1,Nelfb,Snhg1,none
Ncbp1_Clec4d,Ncbp1,Clec4d,down
Vps72_Carhsp1,Vps72,Carhsp1,none
Irf2_Gbp3,Irf2,Gbp3,up
Wnk1_Slc4a7,Wnk1,Slc4a7,none
Vps33a_Lipa,Vps33a,Lipa,up
Nolc1_Cfp,Nolc1,Cfp,none
Lamtor4_Il7r,Lamtor4,Il7r,up
Nob1_Cotl1,Nob1,Cotl1,down
Wnk1_Ahnak,Wnk1,Ahnak,up
Fzr1_Gm56598,Fzr1,Gm56598,none
Rae1_Cd5l,Rae1,Cd5l,none
Rheb_Itgal,Rheb,Itgal,none
Slc33a1_P4hb,Slc33a1,P4hb,up
Sptssa_Etnk1,Sptssa,Etnk1,none
Zfp36_Snhg15,Zfp36,Snhg15,none
Tyk2_Prkacb,Tyk2,Prkacb,none
Prpf19_Prdx5,Prpf19,Prdx5,down
Rbck1_Stk17b,Rbck1,Stk17b,up
Scap_Aph1c,Scap,Aph1c,up
Nelfa_Selenow,Nelfa,Selenow,down
Polr1f_Axdnd1,Polr1f,Axdnd1,none
Aip_Ly86,Aip,Ly86,none
Prpf19_Creld2,Prpf19,Creld2,none
Bag6_Ptpn6,Bag6,Ptpn6,none
Ss18_Ctsc,Ss18,Ctsc,none
Mafb_Folr2,Mafb,Folr2,down
Wdr48_Il15,Wdr48,Il15,none
Dda1_Cfp,Dda1,Cfp,none
Naa35_Fgl2,Naa35,Fgl2,down
Actr2_Mmp12,Actr2,Mmp12,up
Fzr1_Gadd45b,Fzr1,Gadd45b,none
Gtf2h1_Selenow,Gtf2h1,Selenow,none
Mphosph10_Cotl1,Mphosph10,Cotl1,down
Cmtr1_Sap30,Cmtr1,Sap30,up
Pias1_Gngt2,Pias1,Gngt2,up
Hyou1_Dclre1b,Hyou1,Dclre1b,none
Snrnp27_Actb,Snrnp27,Actb,none
Wnk1_Acod1,Wnk1,Acod1,none
Polr2i_Ahnak,Polr2i,Ahnak,none
Tardbp_Dnah12,Tardbp,Dnah12,none
Telo2_2610037D02Rik,Telo2,2610037D02Rik,up
Ube2m_Il1rn,Ube2m,Il1rn,none
Ric1_Il7r,Ric1,Il7r,none
Abi1_Ifih1,Abi1,Ifih1,none
Ly96_Mtdh,Ly96,Mtdh,down
Rcl1_Aif1,Rcl1,Aif1,none
Alg2_Osgin1,Alg2,Osgin1,none
Ptpn2_Npy,Ptpn2,Npy,none
Ccdc22_Rnf128,Ccdc22,Rnf128,none
Gnb2_Fosl2,Gnb2,Fosl2,down
Ube4b_Cd72,Ube4b,Cd72,none
Xpo1_D030025P21Rik,Xpo1,D030025P21Rik,none
Irf9_Smox,Irf9,Smox,none
Fbxo11_Cd9,Fbxo11,Cd9,down
Cpsf4_H2-Q7,Cpsf4,H2-Q7,none
Wdr61_Ifit2,Wdr61,Ifit2,up
Sec63_Pdia3,Sec63,Pdia3,up
Ints1_Pik3r1,Ints1,Pik3r1,none
Ddx6_Med29,Ddx6,Med29,up
Ippk_Tent5a,Ippk,Tent5a,up
Actr10_Ccrl2,Actr10,Ccrl2,up
Trrap_Ifit3b,Trrap,Ifit3b,up
Ptpn11_Ms4a4a,Ptpn11,Ms4a4a,up
Copz1_Abca1,Copz1,Abca1,up
Cct3_Sqstm1,Cct3,Sqstm1,none
Sec13_Rpf1,Sec13,Rpf1,none
Atp6ap2_Gm17276,Atp6ap2,Gm17276,none
Alg2_Krtcap2,Alg2,Krtcap2,up
Ccdc22_Stap1,Ccdc22,Stap1,down
Klf6_Zfyve27,Klf6,Zfyve27,none
Nprl2_Osbpl8,Nprl2,Osbpl8,none
Cog3_Ctsl,Cog3,Ctsl,none
Rheb_Cd72,Rheb,Cd72,down
Wdr48_Hivep2,Wdr48,Hivep2,none
Dcaf13_Mylk,Dcaf13,Mylk,none
Cdc123_Fmr1,Cdc123,Fmr1,none
Mapkapk2_Polr2g,Mapkapk2,Polr2g,down
Atg9a_Creg1,Atg9a,Creg1,up
Rragc_Glrx,Rragc,Glrx,down
Hdac3_Mphosph10,Hdac3,Mphosph10,none
Top3a_Hsp90b1,Top3a,Hsp90b1,down
Bop1_Il4i1,Bop1,Il4i1,none
Smg5_Tcf4,Smg5,Tcf4,none
Atp6ap2_Clec4e,Atp6ap2,Clec4e,none
Hspa4_Ccrl2,Hspa4,Ccrl2,up
Cct7_Msrb1,Cct7,Msrb1,down
Arid1a_Ly86,Arid1a,Ly86,none
Pfdn2_Tubb4b,Pfdn2,Tubb4b,up
Vps72_Hspa5,Vps72,Hspa5,none
Kras_Pilra,Kras,Pilra,none
Rbm14_Apbb2,Rbm14,Apbb2,none
Dnajc8_Ebi3,Dnajc8,Ebi3,down
Ncor2_Cpe,Ncor2,Cpe,down
Rbm14_Prdx1,Rbm14,Prdx1,none
Rragc_Gpnmb,Rragc,Gpnmb,up
Srrd_Gm16685,Srrd,Gm16685,up
Yrdc_Krtcap2,Yrdc,Krtcap2,up
Ccdc22_Nes,Ccdc22,Nes,down
Axin1_Gngt2,Axin1,Gngt2,down
Becn1_Gpnmb,Becn1,Gpnmb,up
Smarcd2_Macir,Smarcd2,Macir,none
Pik3r4_Ccl9,Pik3r4,Ccl9,down
Polr1f_Mir22hg,Polr1f,Mir22hg,up
Leng1_Timp2,Leng1,Timp2,up
Kat8_Syngr1,Kat8,Syngr1,up
Heatr1_Lrrc27,Heatr1,Lrrc27,none
Hnrnpu_Neat1,Hnrnpu,Neat1,up
Aip_Hilpda,Aip,Hilpda,up
Ctcf_Impa2,Ctcf,Impa2,none
Tbc1d10b_Gclm,Tbc1d10b,Gclm,none
Pi4kb_Enpp4,Pi4kb,Enpp4,none
Abi1_Osbpl8,Abi1,Osbpl8,none
Eftud2_Dynlt1f,Eftud2,Dynlt1f,none
Kat5_Prdx6,Kat5,Prdx6,up
Cul2_Tnfaip2,Cul2,Tnfaip2,none
Chmp5_Prdx1,Chmp5,Prdx1,up
Egln1_Ero1a,Egln1,Ero1a,up
Hyou1_Pdia3,Hyou1,Pdia3,up
Ehmt2_Selenop,Ehmt2,Selenop,up
Gins4_Mylip,Gins4,Mylip,none
Eif1ad_Adrb2,Eif1ad,Adrb2,none
Junb_Hcar2,Junb,Hcar2,down
Pias1_4933439K11Rik,Pias1,4933439K11Rik,none
Tnpo3_Gpx4,Tnpo3,Gpx4,up
Slc33a1_Nlrp3,Slc33a1,Nlrp3,none
Bloc1s1_Lipa,Bloc1s1,Lipa,up
Ash2l_Tent5a,Ash2l,Tent5a,up
Rc3h1_Lfng,Rc3h1,Lfng,up
Rcl1_Ccrl2,Rcl1,Ccrl2,none
Exoc5_Fgl2,Exoc5,Fgl2,down
Mta2_Ly6a,Mta2,Ly6a,up
Rpn2_Igsf6,Rpn2,Igsf6,none
Dad1_Wipf1,Dad1,Wipf1,none
Actl6a_Sdc1,Actl6a,Sdc1,none
Bop1_Serpinb6a,Bop1,Serpinb6a,none
Scap_Plpp3,Scap,Plpp3,up
Hira_Akap9,Hira,Akap9,none
Polr2i_Hsp90b1,Polr2i,Hsp90b1,none
Ss18_Sgms1,Ss18,Sgms1,none
Mbtps2_Mxd1,Mbtps2,Mxd1,none
Rnf40_Socs1,Rnf40,Socs1,none
Rack1_Pla2g4b,Rack1,Pla2g4b,none
Paf1_Cd36,Paf1,Cd36,none
Ss18_Hif1a,Ss18,Hif1a,none
Telo2_Bach1,Telo2,Bach1,up
Cbfb_Nedd4,Cbfb,Nedd4,up
Mtor_Bhlhe41,Mtor,Bhlhe41,none
Cog5_Ifnb1,Cog5,Ifnb1,none
Arid1a_Vav3,Arid1a,Vav3,up
Hira_Irf1,Hira,Irf1,none
Vps72_Clec4e,Vps72,Clec4e,none
Slc7a6os_Polr2a,Slc7a6os,Polr2a,up
Cct7_Creg1,Cct7,Creg1,none
Atg9a_Cd36,Atg9a,Cd36,up
Smarcd2_Lgals1,Smarcd2,Lgals1,none
Rhoa_Fcgr4,Rhoa,Fcgr4,down
Tubg1_Notch1,Tubg1,Notch1,up
Tgif1_Ifi205,Tgif1,Ifi205,none
Mms22l_Cdk18,Mms22l,Cdk18,up
Wdr43_Irgm1,Wdr43,Irgm1,none
Mapk14_Blvrb,Mapk14,Blvrb,down
Leng1_S100a11,Leng1,S100a11,up
Kars_Fh1,Kars,Fh1,none
Mcm4_Dock10,Mcm4,Dock10,none
Ints1_Gsto1,Ints1,Gsto1,up
Dr1_Tmem88,Dr1,Tmem88,none
Zfp207_Syngr1,Zfp207,Syngr1,up
Hsp90b1_Cox6a2,Hsp90b1,Cox6a2,none
Kin_Pclaf,Kin,Pclaf,none
Cbfb_Cd81,Cbfb,Cd81,none
Actr10_Gpr84,Actr10,Gpr84,down
Plrg1_Cd180,Plrg1,Cd180,up
Rps19_Gls,Rps19,Gls,up
Meaf6_Glrx,Meaf6,Glrx,none
Actr6_Polr2g,Actr6,Polr2g,none
Ttc1_Ptpn6,Ttc1,Ptpn6,down
Plrg1_Dcxr,Plrg1,Dcxr,none
Cdc123_Lgals3,Cdc123,Lgals3,none
Gpn2_Ctsh,Gpn2,Ctsh,up
Ints9_Cd109,Ints9,Cd109,none
Uxt_Ctsh,Uxt,Ctsh,up
Leo1_Tent5a,Leo1,Tent5a,up
Cog5_Pck2,Cog5,Pck2,up
Elavl1_Resf1,Elavl1,Resf1,up
Ptpa_Polr2g,Ptpa,Polr2g,up
Rae1_Thoc3,Rae1,Thoc3,none
Spout1_Cd68,Spout1,Cd68,none
Yeats4_Man1a,Yeats4,Man1a,up
Ly96_Lima1,Ly96,Lima1,none
Tcp1_Gyg,Tcp1,Gyg,none
Smarcd2_Dnase1l1,Smarcd2,Dnase1l1,down
Wdr1_Dstn,Wdr1,Dstn,up
Strip1_Gpr84,Strip1,Gpr84,down
Ints9_Pck2,Ints9,Pck2,none
Kin_Irgm1,Kin,Irgm1,up
Psmg4_Mcemp1,Psmg4,Mcemp1,none
Arih1_Clip1,Arih1,Clip1,down
Junb_Denr,Junb,Denr,down
Cct4_9430091E24Rik,Cct4,9430091E24Rik,none
Gpn2_Igf1,Gpn2,Igf1,none
Tyk2_Lyz1,Tyk2,Lyz1,none
Rbm15_Litaf,Rbm15,Litaf,none
Rel_Oasl1,Rel,Oasl1,none
Spout1_Rsad2,Spout1,Rsad2,up
Pik3c3_Selenow,Pik3c3,Selenow,down
Ptpn11_1110038B12Rik,Ptpn11,1110038B12Rik,none
Myc_Alas1,Myc,Alas1,none
Ube2m_Prdx1,Ube2m,Prdx1,up
Mapkapk2_Skil,Mapkapk2,Skil,none
Trrap_C3,Trrap,C3,up
Becn1_Ttc17,Becn1,Ttc17,none
